Rak,TEAM,POINTS,MATCHES_PLAYED,WINS,DRAWS,LOSES,GOALS_SCORED,GOALS_AGAINST,AVERAGE_POINTS,APPEARANCES
1,BRAZIL,227,104,70,17,17,221,102,2.2,20
2,GERMANY,218,106,66,20,20,224,121,2.1,18
3,ITALY,156,83,45,21,17,128,77,1.9,18
4,ARGENTINA,140,77,42,14,21,131,84,1.8,16
5,SPAIN,99,59,29,12,18,92,66,1.7,14
6,ENGLAND,98,62,26,20,16,79,56,1.6,14
7,FRANCE,96,59,28,12,19,106,71,1.6,14
8,NETHERLANDS,93,50,27,12,11,86,48,1.9,10
9,URUGUAY,72,51,20,12,19,80,71,1.4,12
10,SWEDEN,61,46,16,13,17,74,69,1.3,11
11,RUSSIA,59,40,17,8,15,66,47,1.5,9
12,SERBIA,59,43,17,8,18,64,59,1.4,11
13,MEXICO,56,53,14,14,25,57,92,1.1,15
14,BELGIUM,51,41,14,9,18,52,66,1.1,12
15,POLAND,50,31,15,5,11,44,40,1.6,7
16,HUNGARY,48,32,15,3,14,87,57,1.5,9
17,PORTUGAL,43,26,13,4,9,43,29,1.6,6
18,CZECH REPUBLIC,41,33,12,5,16,47,49,1.2,9
19,AUSTRIA,40,29,12,4,13,43,47,1.4,7
20,CHILE,40,33,11,7,15,40,49,1.2,9
21,SWITZERLAND,39,33,11,6,16,45,59,1.2,10
22,PARAGUAY,31,27,7,10,10,30,38,1.2,8
23,USA,30,33,8,6,19,37,62,0.9,10
24,ROMANIA,29,21,8,5,8,30,32,1.4,7
25,DENMARK,26,16,8,2,6,27,24,1.6,4
26,KOREA REPUBLIC,24,31,5,9,17,31,67,0.8,9
27,CROATIA,23,16,7,2,7,21,17,1.4,4
28,COLOMBIA,23,18,7,2,9,26,27,1.3,5
29,COSTA RICA,19,15,5,4,6,17,23,1.3,4
30,SCOTLAND,19,23,4,7,12,25,41,0.8,8
31,CAMEROON,19,23,4,7,12,18,43,0.8,7
32,NIGERIA,18,18,5,3,10,20,26,1.0,5
33,BULGARIA,17,26,3,8,15,22,53,0.6,7
34,TURKEY,16,10,5,1,4,20,17,1.6,2
35,JAPAN,16,17,4,4,9,14,22,0.9,5
36,GHANA,15,12,4,3,5,13,16,1.2,3
37,PERU,15,15,4,3,8,19,31,1.0,4
38,REPUBLIC OF IRELAND,14,13,2,8,3,10,10,1.1,3
39,NORTHERN IRELAND,14,13,3,5,5,13,23,1.1,3
40,ECUADOR,13,10,4,1,5,10,11,1.3,3
41,ALGERIA,12,13,3,3,7,13,19,0.9,4
42,CÔTE D'IVOIRE,10,9,3,1,5,13,14,1.1,3
43,SOUTH AFRICA,10,9,2,4,3,11,16,1.1,3
44,MOROCCO,10,13,2,4,7,12,18,0.8,4
45,NORWAY,9,8,2,3,3,7,8,1.1,3
45,SENEGAL,8,5,2,2,1,7,6,1.6,1
46,GERMAN DR,8,6,2,2,2,5,5,1.3,1
46,AUSTRALIA,9,13,2,3,8,11,26,0.7,4
49,GREECE,8,10,2,2,6,5,20,0.8,3
50,SAUDI ARABIA,8,13,2,2,9,9,32,0.6,4
51,UKRAINE,7,5,2,1,2,5,7,1.4,1
52,TUNISIA,7,12,1,4,7,8,17,0.6,4
53,WALES,6,5,1,3,1,4,4,1.2,1
54,IRAN,6,12,1,3,8,7,22,0.5,4
55,CUBA,4,3,1,1,1,5,12,1.3,1
56,SLOVAKIA,4,4,1,1,2,5,7,1.0,1
57,SLOVENIA,4,6,1,1,4,5,10,0.7,2
58,KOREA DPR,4,7,1,1,5,6,21,0.6,2
59,BOSNIA AND HERZEGOVINA,4,3,1,0,2,4,3,1.0,1
60,JAMAICA,3,3,1,0,2,3,9,1.0,1
61,NEW ZEALAND,3,6,0,3,3,4,14,0.5,2
62,HONDURAS,3,9,0,3,6,3,14,0.3,3
63,ANGOLA,2,3,0,2,1,1,2,0.7,1
64,ISRAEL,2,3,0,2,1,1,3,0.7,1
65,EGYPT,2,4,0,2,2,3,6,0.5,2
66,KUWAIT,1,3,0,1,2,2,6,0.3,1
67,TRINIDAD AND TOBAGO,1,3,0,1,2,0,4,0.3,1
68,BOLIVIA,1,6,0,1,5,1,20,0.2,3
69,INDONESIA,0,1,0,0,1,0,6,0.0,1
70,IRAQ,0,3,0,0,3,1,4,0.0,1
71,TOGO,0,3,0,0,3,1,6,0.0,1
72,CANADA,0,3,0,0,3,0,5,0.0,1
73,UNITED ARAB EMIRATES,0,3,0,0,3,2,11,0.0,1
74,CHINA PR,0,3,0,0,3,0,9,0.0,1
75,HAITI,0,3,0,0,3,2,14,0.0,1
76,CONGO DR,0,3,0,0,3,0,14,0.0,1
77,EL SALVADOR,0,6,0,0,6,1,22,0.0,2
